Facility,Destination City,Supplier,Base + FSC
LA/LB Ports,"CHINO, CA","Hight Logistics, Inc.",485.75
LA/LB Ports,"CHINO, CA",Cargomatic,500.25
LA/LB Ports,"CHINO, CA",STARLING FREIGHT INC,696
LA/LB Ports,"CHULA VISTA,CA.",FORREST LOGISTICS,732.25
LA/LB Ports,"CHULA VISTA,CA.",J&S LOGISTICS,761.25
LA/LB Ports,"CHULA VISTA,CA.",DCW Logistics,768.5
LA/LB Ports,"CHULA VISTA,CA.",Cargomatic,790.25
LA/LB Ports,"CHULA VISTA,CA.",South Bay Drayage- LOS ANGELES LONG BEACH,797.5
LA/LB Ports,"CHULA VISTA,CA.",Mid Lane Carriers Inc.,818.99
LA/LB Ports,"CHULA VISTA,CA.",Franco Trucking - LOS ANGELES LONG BEACH,826.5
LA/LB Ports,"CHULA VISTA,CA.",Elev8 Transportation LLC,827.95
LA/LB Ports,"CHULA VISTA,CA.","Hight Logistics, Inc.",833.75
LA/LB Ports,"CHULA VISTA,CA.",Trucking 2000,899
LA/LB Ports,"CHULA VISTA,CA.",NGL LOGISTICS,906.25
LA/LB Ports,"CHULA VISTA,CA.",fitted transportation,1160
LA/LB Ports,"CHULA VISTA,CA.",CAROLINA TRUCKING INC,1341.25
LA/LB Ports,"CITY OF COMMERCE, CA",fitted transportation,319
LA/LB Ports,"CITY OF COMMERCE, CA",DCW Logistics,326.25
LA/LB Ports,"CITY OF COMMERCE, CA",FORREST LOGISTICS,333.5
LA/LB Ports,"CITY OF COMMERCE, CA",Mid Lane Carriers Inc.,336.5
LA/LB Ports,"CITY OF COMMERCE, CA",Franco Trucking - LOS ANGELES LONG BEACH,348
LA/LB Ports,"CITY OF COMMERCE, CA",NGL LOGISTICS,348
LA/LB Ports,"CITY OF COMMERCE, CA",Elev8 Transportation LLC,353.8
LA/LB Ports,"CITY OF COMMERCE, CA",J&S LOGISTICS,355.25
LA/LB Ports,"CITY OF COMMERCE, CA",South Bay Drayage- LOS ANGELES LONG BEACH,355.25
LA/LB Ports,"CITY OF COMMERCE, CA",XTL Trucking,355.25
LA/LB Ports,"CITY OF COMMERCE, CA","Hight Logistics, Inc.",362.5
LA/LB Ports,"CITY OF COMMERCE, CA",Trucking 2000,372.65
LA/LB Ports,"CITY OF COMMERCE, CA",Cargomatic,413.25
LA/LB Ports,"CITY OF COMMERCE, CA",STARLING FREIGHT INC,580
LA/LB Ports,"CITY OF INDUSTRY, CA",fitted transportation,362.5
LA/LB Ports,"CITY OF INDUSTRY, CA",Mid Lane Carriers Inc.,363.02
LA/LB Ports,"CITY OF INDUSTRY, CA",DCW Logistics,374.1
LA/LB Ports,"CITY OF INDUSTRY, CA",FORREST LOGISTICS,384.25
LA/LB Ports,"CITY OF INDUSTRY, CA",J&S LOGISTICS,391.5
LA/LB Ports,"CITY OF INDUSTRY, CA",Franco Trucking - LOS ANGELES LONG BEACH,398.75
LA/LB Ports,"CITY OF INDUSTRY, CA",NGL LOGISTICS,398.75
LA/LB Ports,"CITY OF INDUSTRY, CA",XTL Trucking,398.75
LA/LB Ports,"CITY OF INDUSTRY, CA",Elev8 Transportation LLC,401.65
LA/LB Ports,"CITY OF INDUSTRY, CA",South Bay Drayage- LOS ANGELES LONG BEACH,401.65
LA/LB Ports,"CITY OF INDUSTRY, CA","Hight Logistics, Inc.",406
LA/LB Ports,"CITY OF INDUSTRY, CA",Cargomatic,420.5
LA/LB Ports,"CITY OF INDUSTRY, CA",Trucking 2000,427.75
LA/LB Ports,"CITY OF INDUSTRY, CA",STARLING FREIGHT INC,580
LA/LB Ports,"COLTON, CA",DCW Logistics,516.2
LA/LB Ports,"COLTON, CA",fitted transportation,536.5
LA/LB Ports,"COLTON, CA",FORREST LOGISTICS,536.5
